Occupation_Title	Occupation_Code		Year	Median Annual Salary	Bottom 10%	Top 10%	Estimated Employment	Projected Growth (2016-2026)	Projected Job Openings (2016-2026)**	Top Industries																		
			2013	"$82,340 "	"$45,090 "	"$121,230 "	"196,280"	3%-7%	"40,200"																			
			2014	"$83,410 "	"$45,030 "	"$126,900 "	"212,510"																					
			2015	"$85,240 "	"$45,320 "	"$129,700 "	"223,370"	2%-4%	"37,700"																			
			2016	"$86,510 "	"$45,410 "	"$133,890 "	"261,210"			"Government, Professional, Scientific, and Technical Services"																		
																												
Geographic Information Systems Technicians***	15-1199.05		2005	"$59,420 "	"$29,760 "	"$103,190 "	"116,760"	7% - 13%	"72,600"	"Government (37%), Professional, Scientific, and Technical Services (16%), Other Industries (47%)"																		
			2006	"$68,570 "	"$35,500 "	"$103,270 "	"180,270"																					
			2007	"$71,510 "	"$37,600 "	"$108,140 "	"182,690"																					
			2008	"$75,150 "	"$40,660 "	"$114,830 "	"191,780"																					
			2009	"$77,010 "	"$41,680 "	"$115,050 "	"195,890"																					
			2010	"$79,240 "	"$41,710 "	"$117,700 "	"183,110"																					
			2011	"$79,930 "	"$42,150 "	"$118,710 "	"177,630"	3%-9%	"51,600"																			
			2012	"$81,140 "	"$43,430 "	"$119,350 "	"185,730"																					
			2013	"$82,340 "	"$45,090 "	"$121,230 "	"196,280"	3%-7%	"40,200"																			
			2014	"$83,410 "	"$45,030 "	"$126,900 "	"212,510"																					
			2015	"$85,240 "	"$45,320 "	"$129,700 "	"223,370"	2%-4%	"37,700"																			
			2016	"$86,510 "	"$45,410 "	"$133,890 "	"261,210"			"Government, Professional, Scientific, and Technical Services"																		
																												
Geodetic Surveyors***	17-1022.01		2005	"$45,860 "	"$25,530 "	"$75,870 "	"54,220"	14% - 19%	"23,300"	"Professional, Scientific, and Technical Services (78%), Government (10%), Other Industries (12%)"																		
			2006	"$48,290 "	"$26,690 "	"$79,910 "	"56,820"																					
			2007	"$51,630 "	"$28,590 "	"$83,510 "	"56,670"																					
			2008	"$52,980 "	"$29,600 "	"$85,620 "	"55,780"																					
			2009	"$54,180 "	"$30,130 "	"$89,120 "	"50,360"																					
			2010	"$54,880 "	"$30,800 "	"$89,930 "	"43,950"																					
			2011	"$55,590 "	"$31,220 "	"$91,100 "	"42,020"	20%-28%	"24,200"																			
			2012	"$56,230 "	"$32,190 "	"$90,920 "	"40,190"																					
			2013	"$56,590 "	"$32,130 "	"$91,790 "	"41,360"	8%-14%	"13,400"																			
			2014	"$57,050 "	"$32,740 "	"$93,370 "	"41,970"																					
			2015	"$58,020 "	"$32,850 "	"$95,800 "	"43,140"	-2%	"13,700"																			
			2016	"$59,390 "	"$33,630 "	"$98,360 "	"43,340"			"Professional, Scientific, and Technical Services, Government"																		
																												
Remote Sensing Scientists and Technologists***	19-2099.01		2005	"$83,300 "	"$41,260 "	"$125,910 "	"23,800"	7% - 13%	"10,100"	"Government (38%), Professional, Scientific, and Technical Services (28%), Educational Services (11%), Self-Employed (11%), Other Industries (12%)"																		
			2006	"$83,450 "	"$41,440 "	"$136,130 "	"21,380"																					
			2007	"$87,660 "	"$44,310 "	"$134,420 "	"23,300"																					
			2008	"$91,500 "	"$46,170 "	"$139,260 "	"22,900"																					
			2009	"$93,950 "	"$48,300 "	"$143,910 "	"25,310"																					
			2010	"$94,780 "	"$48,110 "	"$147,100 "	"24,690"																					
			2011	"$94,990 "	"$45,680 "	"$148,500 "	"25,790"	3%-9%	"13,300"																			
			2012	"$91,640 "	"$42,260 "	"$149,530 "	"25,230"																					
			2013	"$93,230 "	"$43,620 "	"$150,810 "	"23,290"	3%-7%	"8,300"																			
			2014	"$94,030 "	"$46,400 "	"$151,340 "	"23,030"																					
			2015	"$97,130 "	"$47,620 "	"$153,880 "	"21,130"	(-1%)-1%	"3,000"																			
			2016	"$96,070 "	"$47,380 "	"$155,000 "	"18,960"			"Government, Educational Services"																		
																												
Civil Drafters***	17-3011.02		2005	"$40,390 "	"$26,140 "	"$59,590 "	"101,040"	7% - 13%	"36,200"	"Professional, Scientific, and Technical Services (80%), Other Industries (20%)"																		
			2006	"$41,960 "	"$27,010 "	"$63,310 "	"107,110"																					
			2007	"$43,310 "	"$27,680 "	"$65,050 "	"111,460"																					
			2008	"$44,490 "	"$28,220 "	"$67,110 "	"114,910"																					
			2009	"$45,600 "	"$29,050 "	"$69,610 "	"105,320"																					
			2010	"$46,430 "	"$29,990 "	"$72,150 "	"89,670"																					
			2011	"$47,250 "	"$31,520 "	"$73,880 "	"85,740"	3%-9%	"20,900"																			
			2012	"$47,870 "	"$31,840 "	"$74,040 "	"83,410"																					
			2013	"$48,800 "	"$32,440 "	"$74,200 "	"88,860"	-2%-2%	"12,400"																			
			2014	"$49,970 "	"$32,820 "	"$75,650 "	"91,520"																					
			2015	"$50,710 "	"$33,260 "	"$77,450 "	"95,280"	-2%	"11,100"																			
			2016	"$51,640 "	"$33,570 "	"$78,770 "	"96,810"			"Professional, Scientific, and Technical Services "																		
																												
Mapping Technicians***	17-3031.02		2005	"$31,290 "	"$19,300 "	"$52,000 "	"63,910"	20%	"29,400"	"Professional, Scientific, and Technical Services (69%), Government (15%), Other Industries (16%)"																		
			2006	"$32,340 "	"$20,020 "	"$53,310 "	"70,940"																					
			2007	"$33,640 "	"$20,670 "	"$55,440 "	"72,410"																					
			2008	"$35,120 "	"$21,680 "	"$58,030 "	"71,920"																					
			2009	"$37,190 "	"$22,680 "	"$59,780 "	"62,940"																					
			2010	"$37,900 "	"$23,450 "	"$60,870 "	"53,870"																					
			2011	"$39,350 "	"$24,420 "	"$63,400 "	"48,590"	10%-19%	"20,000"																			
			2012	"$39,670 "	"$24,180 "	"$65,870 "	"47,000"																					
			2013	"$40,670 "	"$24,950 "	"$66,770 "	"47,950"	8%-14%	"17,000"																			
			2014	"$40,770 "	"$25,270 "	"$67,320 "	"50,750"																					
			2015	"$42,010 "	"$26,060 "	"$68,160 "	"53,620"	-2%	"11,100"																			
			2016	"$42,450 "	"$26,030 "	"$70,280 "	"53,920"		"6,500"	"Professional, Scientific, and Technical Services, Government "																		
																												
Precision Agriculture Technicians***	19-4099.02		2005	"$40,030 "	"$23,220 "	"$73,230 "	"63,810"	7% - 13%	"36,400"	"Educational Services (35%), Professional, Scientific, and Technical Services (24%), Government (19%), Other Industries (22%)"																		
			2006	"$37,920 "	"$21,890 "	"$64,060 "	"58,080"																					
			2007	"$38,130 "	"$22,060 "	"$64,770 "	"59,910"																					
			2008	"$40,050 "	"$22,720 "	"$67,310 "	"58,070"																					
			2009	"$42,110 "	"$24,490 "	"$69,730 "	"59,530"																					
			2010	"$43,350 "	"$25,600 "	"$71,080 "	"55,360"																					
			2011	"$43,120 "	"$24,880 "	"$71,660 "	"58,890"	10%-19%	"33,500"																			
			2012	"$43,130 "	"$24,930 "	"$72,550 "	"56,920"																					
			2013	"$44,200 "	"$25,440 "	"$73,370 "	"61,950"	8%-14%	"31,600"																			
			2014	"$44,650 "	"$25,380 "	"$74,730 "	"67,140"																					
			2015	"$45,300 "	"$25,080 "	"$75,970 "	"72,020"	5%-8%	"38,100"																			
			2016	"$46,040 "	"$26,310 "	"$77,010 "	"68,540"			"Educational Services, Professional, Scientific, and Technical Services "																		
																												
Surveying Technicians***	17-3031.01		2005	"$31,290 "	"$19,300 "	"$52,000 "	"63,910"	20%	"29,400"	"Professional, Scientific, and Technical Services (69%), Government (15%), Other Industries (16%)"																		
			2006	"$32,340 "	"$20,020 "	"$53,310 "	"70,940"																					
			2007	"$33,640 "	"$20,670 "	"$55,440 "	"72,410"																					
			2008	"$35,120 "	"$21,680 "	"$58,030 "	"71,920"																					
			2009	"$37,190 "	"$22,680 "	"$59,780 "	"62,940"																					
			2010	"$37,900 "	"$23,450 "	"$60,870 "	"53,870"																					
			2011	"$39,350 "	"$24,420 "	"$63,400 "	"48,590"	10%-19%	"20,000"																			
			2012	"$39,670 "	"$24,180 "	"$65,870 "	"47,000"																					
			2013	"$40,670 "	"$24,950 "	"$66,770 "	"47,950"	8%-14%	"17,000"																			
			2014	"$40,770 "	"$25,270 "	"$67,320 "	"50,750"																					
			2015	"$42,010 "	"$26,060 "	"$68,160 "	"53,620"	-2%	"6,500"																			
			2016	"$42,450 "	"$26,030 "	"$70,280 "	"53,920"			"Professional, Scientific, and Technical Services, Government"																		
																												
City and Regional Planning Aides***	19-4061.01		2005	"$33,950 "	"$20,470 "	"$54,910 "	"16,320"	14% - 19%	"12,700"	"Educational Services (45%), Professional, Scientific, and Technical Services (36%), Other Industries (19%)"																		
			2006	"$33,860 "	"$20,500 "	"$54,930 "	"15,840"																					
			2007	"$35,870 "	"$21,940 "	"$57,990 "	"16,070"																					
			2008	"$35,650 "	"$20,750 "	"$58,560 "	"18,120"																					
			2009	"$37,500 "	"$21,600 "	"$60,690 "	"21,720"																					
			2010	"$37,230 "	"$21,370 "	"$60,810 "	"25,830"																					
			2011	"$38,800 "	"$23,170 "	"$65,550 "	"26,200"	10%-19%	"17,000"																			
			2012	"$37,140 "	"$20,600 "	"$64,280 "	"26,370"																					
			2013	"$38,310 "	"$18,250 "	"$67,780 "	"26,830"	15%-21%	"16,100"																			
			2014	"$39,460 "	"$19,130 "	"$69,570 "	"27,780"																					
			2015	"$42,480 "	"$20,540 "	"$73,280 "	"28,060"	5%-8%	"15,200"																			
			2016	"$43,190 "	"$22,090 "	"$74,900 "	"30,030"			"Professional, Scientific, and Technical Services, Educational Services"																		
																												
Intelligence Analysts***	33-3021.06		2005	"$55,790 "	"$32,920 "	"$88,570 "	"85,270"	14% - 19%	"41,600"	"Government (99%), Other Industries (1%)"																		
			2006	"$58,260 "	"$34,480 "	"$92,590 "	"100,110"																					
			2007	"$59,930 "	"$35,600 "	"$95,630 "	"103,320"																					
			2008	"$60,910 "	"$36,500 "	"$97,870 "	"104,480"																					
			2009	"$62,110 "	"$37,960 "	"$99,980 "	"110,380"																					
			2010	"$68,820 "	"$38,850 "	"$119,320 "	"110,640"																					
			2011	"$71,770 "	"$39,660 "	"$122,290 "	"111,930"	3%-9%	"30,100"																			
			2012	"$74,300 "	"$39,900 "	"$122,990 "	"109,230"																					
			2013	"$76,730 "	"$40,110 "	"$125,320 "	"109,960"	-2%-2%	"27,700"																			
			2014	"$79,870 "	"$40,780 "	"$127,400 "	"108,720"																					
			2015	"$77,210 "	"$41,200 "	"$128,690 "	"106,580"	(-1%)-1%	"28,300"																			
			2016	"$78,120 "	"$42,220 "	"$131,200 "	"104,980"			Government 																		
																												
Environmental Restoration Planners***	19-2041.02		2005	"$52,630 "	"$32,910 "	"$89,040 "	"72,000"	20%	"48,400"	"Government (44%), Professional, Scientific, and Technical Services (41%), Other Industries (15%)"																		
			2006	"$56,100 "	"$34,590 "	"$94,670 "	"77,720"																					
			2007	"$58,380 "	"$35,630 "	"$99,320 "	"80,070"																					
			2008	"$59,750 "	"$36,310 "	"$102,610 "	"80,120"																					
			2009	"$61,010 "	"$37,120 "	"$107,190 "	"83,530"																					
			2010	"$61,700 "	"$37,850 "	"$107,990 "	"81,690"																					
			2011	"$62,920 "	"$38,090 "	"$110,560 "	"83,090"	10%-19%	"43,200"																			
			2012	"$63,570 "	"$38,570 "	"$109,970 "	"84,240"																					
			2013	"$65,090 "	"$38,980 "	"$112,990 "	"87,380"	15%-21%	"39,700"																			
			2014	"$66,250 "	"$39,730 "	"$114,990 "	"88,740"																					
			2015	"$67,460 "	"$40,350 "	"$118,070 "	"87,250"	9%-13%	"39,300"																			
			2016	"$68,910 "	"$41,220 "	"$120,320 "	"84,250"			"Government, Professional, Scientific, and Technical Services."																		
																												
Remote Sensing Technicians***	19-4099.03		2005	"$40,030 "	"$23,220 "	"$73,230 "	"63,810"	7% - 13%	"36,400"	"Educational Services (35%), Professional, Scientific, and Technical Services (24%), Government (19%), Other Industries (22%)"																		
			2006	"$37,920 "	"$21,890 "	"$64,060 "	"58,080"																					
			2007	"$38,130 "	"$22,060 "	"$64,770 "	"59,910"																					
			2008	"$40,050 "	"$22,720 "	"$67,310 "	"58,070"																					
			2009	"$42,110 "	"$24,490 "	"$69,730 "	"59,530"																					
			2010	"$43,350 "	"$25,600 "	"$71,080 "	"55,360"																					
			2011	"$43,120 "	"$24,880 "	"$71,660 "	"58,890"	10%-19%	"33,500"																			
			2012	"$43,130 "	"$24,930 "	"$72,550 "	"56,920"																					
			2013	"$44,200 "	"$25,440 "	"$73,370 "	"61,950"	8%-14%	"31,600"																			
			2014	"$44,650 "	"$25,380 "	"$74,730 "	"67,140"																					
			2015	"$45,300 "	"$25,080 "	"$75,970 "	"72,020"	5%-8%	"38,100"																			
			2016	"$46,040 "	"$26,310 "	"$77,010 "	"68,540"			"Educational Services, Professional, Scientific, and Technical Services "																		
																												
Water Resource Specialists***	11-9121.02		2005	"$93,090 "	"$50,260 "	"$145,600*"	"40,400"	14% - 19%	"20,100"	"Professional, Scientific, and Technical Services (36%), Government (31%), Manufacturing (15%), Other Industries (18%)"																		
			2006	"$100,080 "	"$60,300 "	"$145,600*"	"38,660"																					
			2007	"$104,040 "	"$62,880 "	"$145,600*"	"39,370"																					
			2008	"$112,800 "	"$65,960 "	"$166,400*"	"43,060"																					
			2009	"$114,560 "	"$68,640 "	"$166,400*"	"44,180"																					
			2010	"$116,020 "	"$67,290 "	"$166,400*"	"45,920"																					
			2011	"$114,770 "	"$64,180 "	"$154,620 "	"47,510"	3%-9%	"33,500"																			
			2012	"$115,730 "	"$65,040 "	"$156,720 "	"48,560"																					
			2013	"$116,840 "	"$65,580 "	"$187,199*"	"51,900"	3%-7%	"13,700"																			
			2014	"$120,050 "	"$70,020 "	"$187,199*"	"53,290"																					
			2015	"$120,160 "	"$69,250 "	"$162,510 "	"53,450"	2%-4%	"13,300"																			
			2016	"$119,850 "	"$66,920 "	"$160,990 "	"54,780"			"Professional, Scientific, and Technical Services, Government"																		
																												
Anthropologists***	19-3091.01		2005	"$45,910 "	"$27,530 "	"$80,040 "	"4,790"	20%	"4,500"	"Professional, Scientific, and Technical Services (52%), Government (30%), Other Industries (18%)"																		
			2006	"$49,930 "	"$28,940 "	"$81,490 "	"4,960"																					
			2007	"$53,080 "	"$31,130 "	"$84,740 "	"5,250"																					
			2008	"$53,910 "	"$32,150 "	"$89,490 "	"5,230"																					
			2009	"$53,460 "	"$31,530 "	"$87,890 "	"5,570"																					
			2010	"$54,230 "	"$31,310 "	"$89,440 "	"5,100"																					
			2011	"$56,070 "	"$32,160 "	"$89,840 "	"5,370"	20%-28%	"3,800"																			
			2012	"$57,420 "	"$33,330 "	"$91,140 "	"6,060"																					
			2013	"$58,360 "	"$34,320 "	"$92,730 "	"6,560"	15%-21%	"2,600"																			
			2014	"$59,280 "	"$34,580 "	"$93,650 "	"7,040"																					
			2015	"$61,220 "	"$35,440 "	"$97,040 "	"6,980"	2%-4%	"1,200"																			
			2016	"$63,190 "	"$36,910 "	"$99,590 "	"6,470"			"Professional, Scientific, and Technical Services, Government"																		
																												
Transportation Planners***	19-3099.01		2005	"$62,650 "	"$36,590 "	"$99,500 "	"31,900"	20%	"23,800"	"Government (53%), Professional, Scientific, and Technical Services (19%), Educational Services (15%), Other Industries (13%)"																		
			2006	"$64,920 "	"$38,230 "	"$103,390 "	"31,110"																					
			2007	"$67,200 "	"$38,170 "	"$102,920 "	"30,410"																					
			2008	"$68,720 "	"$37,300 "	"$108,300 "	"28,680"																					
			2009	"$69,860 "	"$38,440 "	"$109,780 "	"29,250"																					
			2010	"$74,620 "	"$43,430 "	"$115,720 "	"28,420"																					
			2011	"$75,160 "	"$44,560 "	"$115,750 "	"31,520"	3%-9%	"17,600"																			
			2012	"$76,540 "	"$46,850 "	"$115,730 "	"30,660"																					
			2013	"$76,770 "	"$47,450 "	"$116,060 "	"31,360"	-2%-2%	"6,400"																			
			2014	"$75,630 "	"$45,830 "	"$116,910 "	"35,010"																					
			2015	"$76,380 "	"$45,390 "	"$118,080 "	"34,160"	-2%	"4,200"																			
			2016	"$77,020 "	"$45,420 "	"$119,800 "	"36,380"			"Government, Educational Services "																		
																												
Transportation Managers***	11-3071.01		2005	"$69,120 "	"$40,940 "	"$116,640 "	"84,870"	-3% - -9%	"27,400"	"Transportation and Warehousing (33%), Wholesale Trade (18%), Government (15%), Manufacturing (12%), Other Industries (22%)"																		
			2006	"$73,080 "	"$43,180 "	"$120,470 "	"89,010"																					
			2007	"$76,310 "	"$44,900 "	"$126,440 "	"92,790"																					
			2008	"$79,000 "	"$45,320 "	"$130,020 "	"96,300"																					
			2009	"$79,490 "	"$45,720 "	"$131,740 "	"92,380"																					
			2010	"$80,210 "	"$46,700 "	"$133,490 "	"90,280"																					
			2011	"$80,860 "	"$47,800 "	"$135,860 "	"92,150"	10%-19%	"33,700"																			
			2012	"$81,830 "	"$48,050 "	"$138,640 "	"98,600"																					
			2013	"$83,890 "	"$49,370 "	"$142,540 "	"102,610"	3%-7%	"29,100"																			
			2014	"$85,400 "	"$50,640 "	"$146,110 "	"106,000"																					
			2015	"$86,630 "	"$50,840 "	"$149,77"	"109,210"	2%-4%	"27,100"																			
			2016	"$89,190 "	"$52,670 "	"$152,730 "	"113,270"			"Transportation and Warehousing, Wholesale Trade"																		
																												
Climate Change Analysts***	19-2041.01		2005	"$52,630 "	"$32,910 "	"$89,040 "	"72,000"	20%	"48,400"	"Government (44%), Professional, Scientific, and Technical Services (41%), Other Industries (15%)"																		
			2006	"$56,100 "	"$34,590 "	"$94,670 "	"77,720"																					
			2007	"$58,380 "	"$35,630 "	"$99,320 "	"80,070"																					
			2008	"$59,750 "	"$36,310 "	"$102,610 "	"80,120"																					
			2009	"$61,010 "	"$37,120 "	"$107,190 "	"83,530"																					
			2010	"$61,700 "	"$37,850 "	"$107,990 "	"81,690"																					
			2011	"$62,920 "	"$38,090 "	"$110,560 "	"83,090"	10%-19%	"43,200"																			
			2012	"$63,570 "	"$38,570 "	"$109,970 "	"84,240"																					
			2013	"$65,090 "	"$38,980 "	"$112,990 "	"87,380"	15%-21%	"39,700"																			
			2014	"$66,250 "	"$39,730 "	"$114,990 "	"88,740"																					
			2015	"$67,460 "	"$40,350 "	"$118,070 "	"87,250"	9%-13%	"39,300"																			
			2016	"$68,910 "	"$41,220 "	"$120,320 "	"84,250"			"Government, Professional, Scientific, and Technical Services"																		
																												
Freight Forwarders***	43-5011.01		2005	"$35,860 "	"$21,630 "	"$56,130 "	"78,730"	20%	"40,300"	"Transportation and Warehousing (91%), Other Industries (9%)"																		
			2006	"$37,110 "	"$22,470 "	"$57,440 "	"84,340"																					
			2007	"$37,060 "	"$22,720 "	"$57,550 "	"81,380"																					
			2008	"$37,270 "	"$22,150 "	"$57,610 "	"85,950"																					
			2009	"$36,960 "	"$22,190 "	"$58,110 "	"82,440"																					
			2010	"$37,150 "	"$22,110 "	"$58,400 "	"81,390"																					
			2011	"$38,210"	"$23,340"	"$59,960"	"80,570"	29% or higher	"44,200"																			
			2012	"$39,720"	"$23,920"	"$61,780"	"78,750"																					
			2013	"$40,250"	"$24,470"	"$67,160"	"73,760"	15%-21%	"33,000"																			
			2014	"$41,380"	"$23,760"	"$65,930"	"77,480"																					
			2015	"$41,870"	"$24,460"	"$66,730"	"81,120"	5%-8%	"31,300"																			
			2016	"$41,920"	"$24,660"	"$64,340"	"88,920"			Transportation and Warehousing 																		
																												
Reservation and Transportation Ticket Agents and Travel Clerks	43-4181		2009	"$31,250"	"$19,640"	"$47,410"	"142,500"																					
			2010	"$31,740"	"$19,940"	"$46,480"	"121,250"																					
			2011	"$33,300"	"$20,230"	"$47,240"	"126,790"																					
			2012	"$32,400"	"$20,130"	"$47,660"	"135,930"																					
			2013	"$33,990"	"$20,450"	"$50,770"	"141,900"	declining -3% or lower.	"18,500"																			
			2014	"$33,510"	"$20,360"	"$51,620"	"138,260"																					
			2015	"$35,170"	"$20,870"	"$56,750"	"138,810"	(-1%) -1%	"17,700"																			
			2016	"$35,230"	"$21,440"	"$59,270"	"146,350"			"Transportation and Warehousing, Administrative and Support Services "																		
																												
Marketing Manager	11-2021.		2009	"$110,030"	"$55,720"	"$166,400*"	"169,330"																					
			2010	"$112,800"	"$57,750"	"$166,400*"	"164,590"																					
			2011	"$116,010"	"$60,230"	"$187,199*"	"168,410"																					
			2012	"$119,480"	"$62,650"	"$187,199*"	"171,430"																					
			2013	"$123,220"	"$64,440"	"$187,199*"	"174,010"	8%-14%	"61,700"																			
			2014	"$127,130"	"$65,980"	"$187,199*"	"184,490"																					
			2015	"$128,750"	"$66,090"	"187,200*"	"192,890"	9%-13%	"64,200"																			
			2016	"$131,180"	"$67,490"	"$208,000*"	"205,900"			"Professional, Scientific, and Technical Services, Management of Companies and Enterprises"																		
																												
Sales Manager	11-2022.		2009	"$96,790"	"$47,660"	"$166,400*"	"328,980"																					
			2010	"$98,530"	"$49,960"	"$166,400*"	"319,300"																					
			2011	"$101,640"	"$51,760"	"$187,199*"	"328,230"																					
			2012	"$105,260"	"$52,950"	"$187,199*"	"344,730"																					
			2013	"$108,540"	"$53,770"	"$187,199*"	"352,220"	8%-14%	"106,900"																			
			2014	"$110,660"	"$53,620"	"$187,199*"	"358,920"																					
			2015	"$113,860"	"$54,490"	"$164,300"	"364,750"	5%-8%	"108,000"																			
			2016	"$117,960"	"$55,790"	"$208,000*"	"365,230"			"Retail Trade, Wholesale Trade"																		
																												
Computer and Information Systems Manager	11-3021.		2009	"$113,720 "	"$69,900 "	"$166,400*"	"287,210"																					
			2010	"$115,780 "	"$71,420 "	"$166,400*"	"288,660"																					
			2011	"$118,010 "	"$73,080 "	"$185,150 "	"300,830"																					
			2012	"$120,950 "	"$74,940 "	"$187,199*"	"309,740"																					
			2013	"$123,950 "	"$76,420 "	"$187,199*"	"319,080"	15%-21%	"97,100"																			
			2014	"$127,640 "	"$78,470 "	"$187,199*"	"330,360"																					
			2015	"$131,600 "	"$80,160 "	"$187,200*"	"341,250"	14%+	"94,800"																			
			2016	"$135,800 "	"$82,360 "	"$170,670 "	"352,510"			"Professional, Scientific, and Technical Services, Finance and Insurance"																		
																												
Logisticians 	13-1081		2009	"$67,960 "	"$40,520 "	"$104,500 "	"100,420"																					
			2010	"$70,800 "	"$43,530 "	"$108,080 "	"104,800"																					
			2011	"$71,910 "	"$44,830 "	"$110,720 "	"112,310"																					
			2012	"$72,780 "	"$45,190 "	"$112,100 "	"119,560"																					
			2013	"$73,400 "	"$46,120 "	"$112,750 "	"120,340"	22% or higher	"42,200"																			
			2014	"$73,870 "	"$45,880 "	"$1,113,940 "	"125,670"																					
			2015	"$74,260 "	"$45,830 "	"$115,960 "	"133,770"	2%-4%	"20,600"																			
			2016	"$74,170 "	"$45,380 "	"$117,310 "	"146,060"			"Manufacturing, Government"																		
																												
"Meeting, Convention, and Event Planners"	13-1121		2009	"$44,780 "	"$27,550 "	"$75,160 "	"51,530"																					
			2010	"$45,260 "	"$27,090 "	"$76,840 "	"56,950"																					
			2011	"$46,020 "	"$27,410 "	"$78,530 "	"64,020"																					
			2012	"$45,810 "	"$26,560 "	"$79,270 "	"70,480"																					
			2013	"$43,260 "	"$26,480 "	"$79,550 "	"73,290"	22% or higher	"44,200"																			
			2014	"$46,490 "	"$25,940 "	"$82,060 "	"77,940"																					
			2015	"$46,840 "	"$25,680 "	"$82,050 "	"87,400"	9%-13%	"21,800"																			
			2016	"$47,350 "	"$25,670 "	"$83,030 "	"95,850"			"Other Services (Expect Public Administration), Accommodation and Food Services"																		
																												
Computer and Information Research Scientists	15-1111		2009	"$101,570 "	"$61,480 "	"$155,420 "	"26,130"																					
			2010	"$100,660 "	"$57,650 "	"$153,120 "	"24,900"																					
			2011	"$101,080 "	"$56,800 "	"$151,660 "	"25,160"																					
			2012	"$102,190 "	"$57,220 "	"$151,900 "	"24,880"																					
			2013	"$106,290 "	"$61,300 "	"$158,800 "	"24,380"	15%-21%	"8,300"																			
			2014	"$108,360 "	"$66,030 "	"$165,600 "	"24,210"																					
			2015	"$110,620 "	"$64,300 "	"$170,610 "	"25,510"	9%-13%	"6,000"																			
			2016	"$111,840 "	"$64,950 "	"$169,680 "	"26,580"			"Professional, Scientific, and Technical Services, Government"																		
																												
Computer Systems Analyst	15-1121		2009	"$77,080 "	"$47,130 "	"$119,170 "	"512,720"																					
			2010	"$77,740 "	"$48,360 "	"$119,070 "	"495,800"																					
			2011	"$78,770 "	"$49,370 "	"$120,060 "	"487,740"																					
			2012	"$79,680 "	"$49,950 "	"$122,090 "	"482,040"																					
			2013	"$81,190 "	"$50,290 "	"$125,460 "	"507,100"	22% or higher	"209,600"																			
			2014	"$82,710 "	"$50,780 "	"$129,980 "	"528,320"																					
			2015	"$85,800 "	"$51,910 "	"$135,450 "	"556,660"	14%+	"191,600"																			
			2016	"$87,220 "	"$53,110 "	"$137,690 "	"568,960"			"Professional, Scientific, and Technical Services, Finance and Insurance"																		
																												
Computer Programmers	15-1131		2009	"$70,940 "	"$40,640 "	"$113,380 "	"367,880"																					
			2010	"$71,380 "	"$40,820 "	"$114,180 "	"333,620"																					
			2011	"$72,630 "	"$41,710 "	"$115,610 "	"320,100"																					
			2012	"$74,280 "	"$42,850 "	"$117,890 "	"316,790"																					
			2013	"$76,140 "	"$43,640 "	"$123,490 "	"312,340"	8%-14%	"118,100"																			
			2014	"$77,550 "	"$44,140 "	"$127,640 "	"302,150"																					
			2015	"$79,530 "	"$44,450 "	"$130,800 "	"289,420"	-2%	"81,000"																			
			2016	"$79,840 "	"$45,570 "	"$130,360 "	"271,200"			"Professional, Scientific, and Technical Services, Information"																		
																												
"Software Developers, Applications"	15-1132		2009	"$87,480 "	"$54,840 "	"$132,080 "	"495,500"																					
			2010	"$87,790 "	"$54,360 "	"$133,110 "	"499,280"																					
			2011	"$89,280 "	"$54,980 "	"$136,490 "	"539,880"																					
			2012	"$90,060 "	"$55,190 "	"$138,880 "	"586,640"																					
			2013	"$92,660 "	"$55,770 "	"$143,540 "	"643,830"	22% or higher	"218,500"																			
			2014	"$95,510 "	"$56,310 "	"$149,480 "	"686,470"																					
			2015	"$98,260 "	"$57,340 "	"$153,710 "	"747,730"	14%+	"238,000"																			
			2016	"$100,080 "	"$58,300 "	"$157,590 "	"794,000"			"Professional, Scientific, and Technical Services, Information"																		
																												
"Software Developers, Systems Software"	15-1133		2009	"$93,470 "	"$59,600 "	"$139,930 "	"385,200"																					
			2010	"$94,180 "	"$61,040 "	"$143,330 "	378920																					
			2011	"$96,600 "	"$62,470 "	"$147,030 "	"387,050"																					
			2012	"$99,000 "	"$62,800 "	"$148,850 "	"391,700"																					
			2013	"$101,410 "	"$63,140 "	"$150,760 "	"373,510"	15%-22%	"134,700"																			
			2014	"$102,880 "	"$63,250 "	"$154,800 "	"382,400"																					
			2015	"$105,570 "	"$64,600 "	"$159,850 "	"390,750"	9%-13%	"107,900"																			
			2016	"$106,860 "	"$64,650 "	"$163,220 "	"409,820"			"Professional, Scientific, and Technical Services, Manufacturing"																		
																												
Computer User Support Specialist	15-1151		2009	"$44,300 "	"$27,200 "	"$72,690 "	"540,560"																					
			2010	"$46,260 "	"$28,300 "	"$76,970 "	"579,270"																					
			2011	"$47,660 "	"$28,980 "	"$81,190 "	"632,490"																					
			2012	"$46,420 "	"$27,620 "	"$77,430 "	"525,630"																					
			2013	"$46,620 "	"$27,780 "	"$78,410 "	"541,250"	15%-21%	"196,900"																			
			2014	"$47,610 "	"$28,280 "	"$80,180 "	"563,540"																					
			2015	"$48,620 "	"$28,990 "	"$81,260 "	"585,060"	9%-13%	"150,500"																			
			2016	"$49,390 "	"$29,440 "	"$82,160 "	"602,840"			"Professional, Scientific, and Technical Services, Educational Services "																		
																												
Operations Research Analysts	15-2031		2009	"$70,010 "	"$40,030 "	"$119,140 "	"60,960"																					
